year,region,division,state,population,group,subgroup,metric,val,upper,lower
2004,Midwest,East North Central,Illinois,12599794.06,Payer,Medicare,Standardized spending per capita,1192,1343,1065
2004,Midwest,East North Central,Illinois,12599794.06,Payer,OOP and other payers,Spending per capita,1908,,
2004,Midwest,East North Central,Illinois,12599794.06,Payer,OOP and other payers,Standardized spending per capita,2154,2604,1786
2004,Midwest,East North Central,Illinois,12599794.06,Payer,Private,Spending per capita,2915,,
2004,Midwest,East North Central,Illinois,12599794.06,Payer,Private,Standardized spending per capita,3588,4080,3128
2004,Midwest,East North Central,Illinois,12599794.06,Total,Total,Spending per capita,7174,,
2004,Midwest,East North Central,Illinois,12599794.06,Total,Total,Standardized spending per capita,8530,8848,8341
2004,Midwest,East North Central,Indiana,6227049.951,Payer,Medicaid,Spending per capita,1045,,
2004,Midwest,East North Central,Indiana,6227049.951,Payer,Medicaid,Standardized spending per capita,1127,1346,929
2004,Midwest,East North Central,Indiana,6227049.951,Payer,Medicare,Spending per capita,1286,,
2004,Midwest,East North Central,Indiana,6227049.951,Payer,Medicare,Standardized spending per capita,1050,1180,926
2004,Midwest,East North Central,Indiana,6227049.951,Payer,OOP and other payers,Spending per capita,2084,,
2004,Midwest,East North Central,Indiana,6227049.951,Payer,OOP and other payers,Standardized spending per capita,2362,2806,1947
2004,Midwest,East North Central,Indiana,6227049.951,Payer,Private,Spending per capita,2811,,
2004,Midwest,East North Central,Indiana,6227049.951,Payer,Private,Standardized spending per capita,3912,4461,3421
2004,Midwest,East North Central,Indiana,6227049.951,Total,Total,Spending per capita,7248,,
2004,Midwest,East North Central,Indiana,6227049.951,Total,Total,Standardized spending per capita,8753,9087,8530
2004,Midwest,East North Central,Michigan,9907914.263,Payer,Medicaid,Spending per capita,999,,
2004,Midwest,East North Central,Michigan,9907914.263,Payer,Medicaid,Standardized spending per capita,1054,1280,852
2004,Midwest,East North Central,Michigan,9907914.263,Payer,Medicare,Spending per capita,1521,,
2004,Midwest,East North Central,Michigan,9907914.263,Payer,Medicare,Standardized spending per capita,1214,1373,1069
2004,Midwest,East North Central,Michigan,9907914.263,Payer,OOP and other payers,Spending per capita,1586,,
2004,Midwest,East North Central,Michigan,9907914.263,Payer,OOP and other payers,Standardized spending per capita,1753,2116,1441
2004,Midwest,East North Central,Michigan,9907914.263,Payer,Private,Spending per capita,3018,,
2004,Midwest,East North Central,Michigan,9907914.263,Payer,Private,Standardized spending per capita,3909,4530,3372
2004,Midwest,East North Central,Michigan,9907914.263,Total,Total,Spending per capita,7120,,
2004,Midwest,East North Central,Michigan,9907914.263,Total,Total,Standardized spending per capita,8200,8500,8009
2004,Midwest,East North Central,Ohio,11384209.22,Payer,Medicaid,Spending per capita,1340,,
2004,Midwest,East North Central,Ohio,11384209.22,Payer,Medicaid,Standardized spending per capita,1462,1697,1230
2004,Midwest,East North Central,Ohio,11384209.22,Payer,Medicare,Spending per capita,1464,,
2004,Midwest,East North Central,Ohio,11384209.22,Payer,Medicare,Standardized spending per capita,1161,1262,1062
2004,Midwest,East North Central,Ohio,11384209.22,Payer,OOP and other payers,Spending per capita,2183,,
2004,Midwest,East North Central,Ohio,11384209.22,Payer,OOP and other payers,Standardized spending per capita,2485,2874,2138
2004,Midwest,East North Central,Ohio,11384209.22,Payer,Private,Spending per capita,2822,,
2004,Midwest,East North Central,Ohio,11384209.22,Payer,Private,Standardized spending per capita,3768,4188,3362
2004,Midwest,East North Central,Ohio,11384209.22,Total,Total,Spending per capita,7803,,
2004,Midwest,East North Central,Ohio,11384209.22,Total,Total,Standardized spending per capita,9195,9517,8988
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,Medicaid,Spending per capita,1066,,
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,Medicaid,Standardized spending per capita,1132,1318,961
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,Medicare,Spending per capita,1199,,
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,Medicare,Standardized spending per capita,995,1083,911
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,OOP and other payers,Spending per capita,2442,,
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,OOP and other payers,Standardized spending per capita,2717,3162,2341
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,Private,Spending per capita,3067,,
2004,Midwest,East North Central,Wisconsin,5482906.101,Payer,Private,Standardized spending per capita,3936,4335,3552
2004,Midwest,East North Central,Wisconsin,5482906.101,Total,Total,Spending per capita,7786,,
2004,Midwest,East North Central,Wisconsin,5482906.101,Total,Total,Standardized spending per capita,9393,9666,9220
2004,South,East South Central,Alabama,4565190.539,Payer,Medicaid,Spending per capita,1009,,
2004,South,East South Central,Alabama,4565190.539,Payer,Medicaid,Standardized spending per capita,1076,1248,934
2004,South,East South Central,Alabama,4565190.539,Payer,Medicare,Spending per capita,1524,,
2004,South,East South Central,Alabama,4565190.539,Payer,Medicare,Standardized spending per capita,1257,1380,1149
2004,South,East South Central,Alabama,4565190.539,Payer,OOP and other payers,Spending per capita,1961,,
2004,South,East South Central,Alabama,4565190.539,Payer,OOP and other payers,Standardized spending per capita,2166,2527,1875
2004,South,East South Central,Alabama,4565190.539,Payer,Private,Spending per capita,2478,,
2004,South,East South Central,Alabama,4565190.539,Payer,Private,Standardized spending per capita,3557,3947,3186
2004,South,East South Central,Alabama,4565190.539,Total,Total,Spending per capita,6980,,
2004,South,East South Central,Alabama,4565190.539,Total,Total,Standardized spending per capita,8210,8405,8060
2004,South,East South Central,Kentucky,4152567.331,Payer,Medicaid,Spending per capita,1367,,
2004,South,East South Central,Kentucky,4152567.331,Payer,Medicaid,Standardized spending per capita,1476,1848,1139
2004,South,East South Central,Kentucky,4152567.331,Payer,Medicare,Spending per capita,1414,,
2004,South,East South Central,Kentucky,4152567.331,Payer,Medicare,Standardized spending per capita,1037,1222,853
2004,South,East South Central,Kentucky,4152567.331,Payer,OOP and other payers,Spending per capita,1930,,
2004,South,East South Central,Kentucky,4152567.331,Payer,OOP and other payers,Standardized spending per capita,2163,2711,1681
2004,South,East South Central,Kentucky,4152567.331,Payer,Private,Spending per capita,2485,,
2004,South,East South Central,Kentucky,4152567.331,Payer,Private,Standardized spending per capita,3776,4484,3071
2004,South,East South Central,Kentucky,4152567.331,Total,Total,Spending per capita,7227,,
2004,South,East South Central,Kentucky,4152567.331,Total,Total,Standardized spending per capita,8940,9323,8659
2004,South,East South Central,Mississippi,2898243.39,Payer,Medicaid,Spending per capita,1617,,
2004,South,East South Central,Mississippi,2898243.39,Payer,Medicaid,Standardized spending per capita,1814,2095,1538
2004,South,East South Central,Mississippi,2898243.39,Payer,Medicare,Spending per capita,1537,,
2004,South,East South Central,Mississippi,2898243.39,Payer,Medicare,Standardized spending per capita,1285,1404,1177
2004,South,East South Central,Mississippi,2898243.39,Payer,OOP and other payers,Spending per capita,1809,,
2004,South,East South Central,Mississippi,2898243.39,Payer,OOP and other payers,Standardized spending per capita,2185,2545,1854
2004,South,East South Central,Mississippi,2898243.39,Payer,Private,Spending per capita,1836,,
2004,South,East South Central,Mississippi,2898243.39,Payer,Private,Standardized spending per capita,3034,3391,2703
2004,South,East South Central,Mississippi,2898243.39,Total,Total,Spending per capita,6796,,
2004,South,East South Central,Mississippi,2898243.39,Total,Total,Standardized spending per capita,9266,9544,9079
2004,South,East South Central,Tennessee,5937475.343,Payer,Medicaid,Spending per capita,1517,,
2004,South,East South Central,Tennessee,5937475.343,Payer,Medicaid,Standardized spending per capita,1516,1833,1230
2004,South,East South Central,Tennessee,5937475.343,Payer,Medicare,Spending per capita,1391,,
2004,South,East South Central,Tennessee,5937475.343,Payer,Medicare,Standardized spending per capita,996,1146,838
2004,South,East South Central,Tennessee,5937475.343,Payer,OOP and other payers,Spending per capita,1943,,
2004,South,East South Central,Tennessee,5937475.343,Payer,OOP and other payers,Standardized spending per capita,2036,2413,1685
2004,South,East South Central,Tennessee,5937475.343,Payer,Private,Spending per capita,2494,,
2004,South,East South Central,Tennessee,5937475.343,Payer,Private,Standardized spending per capita,3300,3849,2789
2004,South,East South Central,Tennessee,5937475.343,Total,Total,Spending per capita,7362,,
2004,South,East South Central,Tennessee,5937475.343,Total,Total,Standardized spending per capita,7872,8086,7672
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,Medicaid,Spending per capita,1153,,
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,Medicaid,Standardized spending per capita,1047,1223,882
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,Medicare,Spending per capita,1538,,
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,Medicare,Standardized spending per capita,1112,1249,981
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,OOP and other payers,Spending per capita,2349,,
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,OOP and other payers,Standardized spending per capita,2266,2634,1944
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,Private,Spending per capita,3102,,
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Payer,Private,Standardized spending per capita,3022,3436,2668
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Total,Total,Spending per capita,8136,,
2004,Northeast,Middle Atlantic,New Jersey,8535440.988,Total,Total,Standardized spending per capita,7861,8056,7727
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,Medicaid,Spending per capita,2887,,
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,Medicaid,Standardized spending per capita,2694,3208,2229
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,Medicare,Spending per capita,1573,,
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,Medicare,Standardized spending per capita,1052,1177,939
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,OOP and other payers,Spending per capita,1997,,
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,OOP and other payers,Standardized spending per capita,2036,2405,1690
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,Private,Spending per capita,2686,,
2004,Northeast,Middle Atlantic,New York,19033700.24,Payer,Private,Standardized spending per capita,2927,3348,2560
2004,Northeast,Middle Atlantic,New York,19033700.24,Total,Total,Spending per capita,9148,,
2004,Northeast,Middle Atlantic,New York,19033700.24,Total,Total,Standardized spending per capita,9184,9513,8972
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,Medicaid,Spending per capita,1447,,
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,Medicaid,Standardized spending per capita,1421,1647,1213
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,Medicare,Spending per capita,1663,,
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,Medicare,Standardized spending per capita,1036,1116,962
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,OOP and other payers,Spending per capita,2420,,
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,OOP and other payers,Standardized spending per capita,2487,2824,2166
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,Private,Spending per capita,2780,,
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Payer,Private,Standardized spending per capita,3412,3727,3111
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Total,Total,Spending per capita,8310,,
2004,Northeast,Middle Atlantic,Pennsylvania,12380608.95,Total,Total,Standardized spending per capita,8778,9080,8579
2004,West,Mountain,Arizona,5660877.077,Payer,Medicaid,Spending per capita,1050,,
2004,West,Mountain,Arizona,5660877.077,Payer,Medicaid,Standardized spending per capita,1234,1599,917
2004,West,Mountain,Arizona,5660877.077,Payer,Medicare,Spending per capita,1160,,
2004,West,Mountain,Arizona,5660877.077,Payer,Medicare,Standardized spending per capita,883,1080,699
2004,West,Mountain,Arizona,5660877.077,Payer,OOP and other payers,Spending per capita,1565,,
2004,West,Mountain,Arizona,5660877.077,Payer,OOP and other payers,Standardized spending per capita,2046,2662,1527
2004,West,Mountain,Arizona,5660877.077,Payer,Private,Spending per capita,2067,,
2004,West,Mountain,Arizona,5660877.077,Payer,Private,Standardized spending per capita,3094,3859,2374
2004,West,Mountain,Arizona,5660877.077,Total,Total,Spending per capita,5865,,
2004,West,Mountain,Arizona,5660877.077,Total,Total,Standardized spending per capita,7579,7874,7402
2004,West,Mountain,Colorado,4610524.289,Payer,Medicaid,Spending per capita,741,,
2004,West,Mountain,Colorado,4610524.289,Payer,Medicaid,Standardized spending per capita,823,1042,645
2004,West,Mountain,Colorado,4610524.289,Payer,Medicare,Spending per capita,940,,
2004,West,Mountain,Colorado,4610524.289,Payer,Medicare,Standardized spending per capita,1051,1262,873
2004,West,Mountain,Colorado,4610524.289,Payer,OOP and other payers,Spending per capita,2135,,
2004,West,Mountain,Colorado,4610524.289,Payer,OOP and other payers,Standardized spending per capita,2520,3118,2009
2004,West,Mountain,Colorado,4610524.289,Payer,Private,Spending per capita,2580,,
2004,West,Mountain,Colorado,4610524.289,Payer,Private,Standardized spending per capita,3094,3735,2573
2004,West,Mountain,Colorado,4610524.289,Total,Total,Spending per capita,6420,,
2004,West,Mountain,Colorado,4610524.289,Total,Total,Standardized spending per capita,7530,7761,7386
2004,West,Mountain,Idaho,1401709.02,Payer,Medicaid,Spending per capita,940,,
2004,West,Mountain,Idaho,1401709.02,Payer,Medicaid,Standardized spending per capita,1160,1371,963
2004,West,Mountain,Idaho,1401709.02,Payer,Medicare,Spending per capita,974,,
2004,West,Mountain,Idaho,1401709.02,Payer,Medicare,Standardized spending per capita,998,1103,900
2004,West,Mountain,Idaho,1401709.02,Payer,OOP and other payers,Spending per capita,1747,,
2004,West,Mountain,Idaho,1401709.02,Payer,OOP and other payers,Standardized spending per capita,2390,2874,2001
2004,West,Mountain,Idaho,1401709.02,Payer,Private,Spending per capita,2301,,
2004,West,Mountain,Idaho,1401709.02,Payer,Private,Standardized spending per capita,3543,3958,3146
2004,West,Mountain,Idaho,1401709.02,Total,Total,Spending per capita,5973,,
2004,West,Mountain,Idaho,1401709.02,Total,Total,Standardized spending per capita,8326,8589,8173
2004,West,Mountain,Montana,933066.5773,Payer,Medicaid,Spending per capita,934,,
2004,West,Mountain,Montana,933066.5773,Payer,Medicaid,Standardized spending per capita,1076,1287,883
2004,West,Mountain,Montana,933066.5773,Payer,Medicare,Spending per capita,1140,,
2004,West,Mountain,Montana,933066.5773,Payer,Medicare,Standardized spending per capita,929,1032,834
2004,West,Mountain,Montana,933066.5773,Payer,OOP and other payers,Spending per capita,2698,,
2004,West,Mountain,Montana,933066.5773,Payer,OOP and other payers,Standardized spending per capita,3240,3946,2646
2004,West,Mountain,Montana,933066.5773,Payer,Private,Spending per capita,1994,,
2004,West,Mountain,Montana,933066.5773,Payer,Private,Standardized spending per capita,2997,3384,2636
2004,West,Mountain,Montana,933066.5773,Total,Total,Spending per capita,6754,,
2004,West,Mountain,Montana,933066.5773,Total,Total,Standardized spending per capita,9007,9338,8808
2004,West,Mountain,Nevada,2305336.744,Payer,Medicaid,Spending per capita,623,,
2004,West,Mountain,Nevada,2305336.744,Payer,Medicaid,Standardized spending per capita,695,928,502
2004,West,Mountain,Nevada,2305336.744,Payer,Medicare,Spending per capita,1174,,
2004,West,Mountain,Nevada,2305336.744,Payer,Medicare,Standardized spending per capita,1157,1410,925
2004,West,Mountain,Nevada,2305336.744,Payer,OOP and other payers,Spending per capita,1895,,
2004,West,Mountain,Nevada,2305336.744,Payer,OOP and other payers,Standardized spending per capita,2104,2764,1593
2004,West,Mountain,Nevada,2305336.744,Payer,Private,Spending per capita,2694,,
2004,West,Mountain,Nevada,2305336.744,Payer,Private,Standardized spending per capita,3402,4242,2649
2004,West,Mountain,Nevada,2305336.744,Total,Total,Spending per capita,6406,,
2004,West,Mountain,Nevada,2305336.744,Total,Total,Standardized spending per capita,7159,7474,6943
2004,West,Mountain,New Mexico,1919447.897,Payer,Medicaid,Spending per capita,1468,,
2004,West,Mountain,New Mexico,1919447.897,Payer,Medicaid,Standardized spending per capita,1852,2263,1476
2004,West,Mountain,New Mexico,1919447.897,Payer,Medicare,Spending per capita,995,,
2004,West,Mountain,New Mexico,1919447.897,Payer,Medicare,Standardized spending per capita,936,1095,811
2004,West,Mountain,New Mexico,1919447.897,Payer,OOP and other payers,Spending per capita,1886,,
2004,West,Mountain,New Mexico,1919447.897,Payer,OOP and other payers,Standardized spending per capita,2619,3247,2089
2004,West,Mountain,New Mexico,1919447.897,Payer,Private,Spending per capita,1770,,
2004,West,Mountain,New Mexico,1919447.897,Payer,Private,Standardized spending per capita,2813,3296,2396
2004,West,Mountain,New Mexico,1919447.897,Total,Total,Spending per capita,6114,,
2004,West,Mountain,New Mexico,1919447.897,Total,Total,Standardized spending per capita,8436,8752,8253
2004,West,Mountain,Utah,2436135.368,Payer,Medicaid,Spending per capita,680,,
2004,West,Mountain,Utah,2436135.368,Payer,Medicaid,Standardized spending per capita,980,1117,844
2004,West,Mountain,Utah,2436135.368,Payer,Medicare,Spending per capita,748,,
2004,West,Mountain,Utah,2436135.368,Payer,Medicare,Standardized spending per capita,1092,1198,994
2004,West,Mountain,Utah,2436135.368,Payer,OOP and other payers,Spending per capita,1759,,
2004,West,Mountain,Utah,2436135.368,Payer,OOP and other payers,Standardized spending per capita,3247,3730,2804
2004,West,Mountain,Utah,2436135.368,Payer,Private,Spending per capita,2278,,
2004,West,Mountain,Utah,2436135.368,Payer,Private,Standardized spending per capita,3883,4256,3570
2004,West,Mountain,Utah,2436135.368,Total,Total,Spending per capita,5470,,
2004,West,Mountain,Utah,2436135.368,Total,Total,Standardized spending per capita,9078,9297,8936
2004,West,Mountain,Wyoming,520310.6355,Payer,Medicaid,Spending per capita,986,,
2004,West,Mountain,Wyoming,520310.6355,Payer,Medicaid,Standardized spending per capita,1018,1214,829
2004,West,Mountain,Wyoming,520310.6355,Payer,Medicare,Spending per capita,1055,,
2004,West,Mountain,Wyoming,520310.6355,Payer,Medicare,Standardized spending per capita,943,1051,847
2004,West,Mountain,Wyoming,520310.6355,Payer,OOP and other payers,Spending per capita,2317,,
2004,West,Mountain,Wyoming,520310.6355,Payer,OOP and other payers,Standardized spending per capita,2399,2831,2000
2004,West,Mountain,Wyoming,520310.6355,Payer,Private,Spending per capita,2572,,
2004,West,Mountain,Wyoming,520310.6355,Payer,Private,Standardized spending per capita,3278,3742,2878
2004,West,Mountain,Wyoming,520310.6355,Total,Total,Spending per capita,6928,,
